TAG,COMMENT_ID,CONTENT
1,z12sdrup1nysx3pqm04cfh55tke3uhlzwag,  #ProudFeministForEquality #LearnBeforeYouBitch    http://www.merriam-webster.com/dictionary/feminism﻿
1,z130frwinouqhnfiu04cit2w0kjqxr2xdlw0k,  Click the link and sign the petition to help get youtube back to normal  http://www.change.org/petitions/google-change-the-youtube-comment-section-back-to-its-original-form  Copy and paste to help get youtube back!!﻿
1,z13vcvz44qiet1mdc230gj5g3zrxwranp," PLEASE WATCH OUR ANTI-BULLYING VIDEO WE WANT TO GET IT TO 3,000 VIEWS WE  HOPE TO MAKE A DIFFERENCE EVERY VIEW COUNTS SUBSCRIBE FOR MORE  ENTERTAINMENT﻿"
1,LZQPQhLyRh8XDCzIuvLHK3EvP-W1COMS-rhyzNESx5s, youtube.com/watch?v=-LR8vBGuxkQ
1,LZQPQhLyRh-YFTIXwQyPtpDyPjGqMMdKNnQV9irloms,#1. Go to my channel. #2. Subscribe to my channel. #3. Like all my videos.  #4. Enjoy.
1,LZQPQhLyRh9Vu0gNV39JByB47-N-vH9QVjxfNIIP1Vg,••••••••••••PLEASE CHECK OUT MY PIANO COVERS AND SUBSCRIBE TO ME•••••••••••
1,z13nv5gpxuedureqq04cglsb3tarfxkydfo,"Amazing free book for iPad and Mac. You wanna stop to be annoyed by your  parents, jus download this book and show it to them, that you are  interested in things. https://itunes.apple.com/us/book/igidi-explains-world-universe/id795706473?ls=1&amp;mt=11 ﻿"
1,LZQPQhLyRh85QTj18ryrecNCXOi_xNr3op98NnhWjKQ,"ay Donald Marshall exposed the Illuminati... Human Cloning, Cloning  Centers, Vril Lizards, Parasited Hosts/Hosts Of Vril/Drones, The Soulstone  and more... Check Out: - Donald Marshall’s interviews on YouTube -  Facebook.com/Donald.Marshall.148 - DonaldMarshall.Proboards . com -  VrilLizards.Webs . com"
1,LZQPQhLyRh_7kzfP5jLiGpbcJMxZKkYlcx4qmJBUAbc,Check out my website forsoftlips (dot) com if you are a teenager looking  for a part time job selling lip products.
1,z12hw5rh2q3pi5o5h04cdfaylry5fdjbsbo,"Did you guys know that there is a place that you can go online to get free  gift card codes? Its really cool and its helping thousands of americans and  people from all over the world. The site lets you get any gift card code  for free! That includes Amazon gift cards, itunes gift cards, psn gift  cards, xbox gift cards, steam gift cards, and so much more! Here is a $50  itunes gift code XXMPHBGS8DGMS57S﻿"
